timestamp_us,magX_uT,magY_uT,magZ_uT
1759233796,-27.317,2.607,12.292
1759240796,-28.388,2.872,15.338
1759247796,-27.525,9.303,16.271
1759254796,-26.247,2.089,20.372
1759261796,-38.196,-0.012,11.968
1759268796,-34.627,7.085,19.429
1759275796,-31.139,3.827,22.952
1759282796,-27.057,3.754,14.804
1759289925,-29.47,4.008,19.134
1759298242,-27.627,-1.213,13.852
1759305958,-28.833,2.87,15.597
1759314088,-29.512,5.297,22.155
1759322019,-26.243,6.446,8.698
1759329953,-34.075,3.981,22.487
1759338800,-32.249,1.093,18.192
1759345796,-31.79,6.672,16.359
1759352797,-33.175,1.901,10.36
1759359796,-30.886,0.093,15.402
1759366796,-28.231,0.534,14.854
1759373796,-26.611,6.729,25.133
1759380796,-29.362,1.155,11.325
1759387796,-31.955,1.678,18.182
1759394796,-26.167,6.103,14.009
1759401796,-33.758,6.886,9.559
1759408796,-31.792,9.454,16.33
1759415796,-33.97,5.92,3.504
1759422796,-31.047,8.101,4.704
1759429796,-30.829,8.38,21.384
1759436796,-36.928,5.514,15.686
1759443796,-34.236,6.274,12.353
1759450796,-30.928,9.106,6.715
1759457796,-29.058,-1.329,10.84
1759464796,-20.217,1.056,20.549
1759471796,-30.077,0.585,9.824
1759478796,-29.553,7.424,14.044
1759485796,-29.598,8.271,17.323
1759492796,-26.885,5.091,12.766
1759499796,-30.875,-3.374,25.803
1759506796,-23.27,7.197,6.372
1759513796,-32.748,6.578,11.064
1759520796,-32.853,5.143,8.047
1759527796,-26.013,3.177,13.784
1759534796,-30.93,9.292,17.837
1759541796,-30.796,0.89,8.567
1759548796,-27.69,3.723,18.1
1759555796,-26.85,1.599,10.526
1759562796,-32.591,5.014,21.444
1759569796,-32.796,8.846,3.457
1759576796,-27.873,7.758,9.466
1759583796,-29.678,6.121,12.542
1759590796,-30.267,3.337,12.832
1759597796,-27.02,5.14,22.88
1759604796,-34.12,3.468,14.908
1759611797,-28.0,5.763,19.095
1759618796,-32.8,3.904,15.138
